id,condition,condition_group,test_or_finding,test_category,comparator_or_threshold,target_outcome,lr_positive,lr_negative,sensitivity,specificity,ci_95_lower_lr_positive,ci_95_upper_lr_positive,ci_95_lower_lr_negative,ci_95_upper_lr_negative,pretest_anchor_min,pretest_anchor_max,setting,population,applicability_flags,harms_or_constraints,direct_cost_usd,downstream_cascade_cost_usd,turnaround_time_hours,source_type,source_citation,source_url,pmid_or_doi,publication_year,evidence_status,notes_for_model,preference_weight_hint,status_updated_at
pe_d_dimer_adult_ed,Pulmonary embolism,thromboembolic,D-dimer,lab,age-adjusted or assay-specific positive threshold,rule out PE,,,,,,,,,0.05,0.4,"[""ED""]","{""age_group"":""adult"",""pregnancy"":false,""immunocompromised"":null,""renal_impairment_relevant"":false,""icu_population"":false,""notes"":""Best used in low/intermediate pretest probability workflows""}","[""ED"",""low_cost""]","[""Poor rule-in value"",""Assay-specific thresholds matter""]",50,400,1,systematic_review,,,,,seed_only,Use only in structured PE pathway; avoid recommending as rule-in test.,0.85,2026-04-01
pe_ctpa_adult_ed,Pulmonary embolism,thromboembolic,CT pulmonary angiography,imaging,positive filling defect,rule in or rule out PE,,,,,,,,,0.15,0.8,"[""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":false,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":null,""notes"":""Imaging performance and interpretability vary with technical quality and patient factors""}","[""ED"",""inpatient"",""high_cost"",""radiation_risk""]","[""Radiation"",""Iodinated contrast"",""Incidentalomas""]",1750,600,2,guideline,,,,,seed_only,Prefer after pretest stratification unless instability or high suspicion changes workflow.,0.55,2026-04-01
dvt_ultrasound_adult_ed,Deep vein thrombosis,thromboembolic,Compression venous ultrasound,ultrasound,noncompressible proximal vein,rule in or rule out proximal DVT,,,,,,,,,0.05,0.7,"[""ED"",""inpatient"",""outpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":false,""icu_population"":null,""notes"":""Proximal vs distal disease distinction matters""}","[""ED"",""inpatient"",""outpatient"",""bedside""]","[""Operator dependence"",""Limited distal sensitivity depending on protocol""]",250,150,2,systematic_review,,,,,seed_only,Specify proximal vs whole-leg protocol when explaining recommendation.,0.8,2026-04-01
acs_hs_troponin_ed,Acute coronary syndrome,cardiovascular,High-sensitivity troponin,lab,assay-specific threshold and delta,rule out or rule in MI/ACS,,,,,,,,,0.02,0.6,"[""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":null,""notes"":""Interpret in context of ECG, symptoms, timing, and kidney disease""}","[""ED"",""inpatient"",""low_cost""]","[""False positives in renal disease, myocarditis, demand ischemia""]",40,500,1,guideline,,,,,seed_only,Do not treat as a standalone diagnosis engine; delta and timing matter.,0.9,2026-04-01
hf_bnp_volume_overload,Acute decompensated heart failure / volume overload,cardiopulmonary,BNP or NT-proBNP,lab,assay-specific threshold,support or reduce likelihood of HF-related dyspnea,,,,,,,,,0.05,0.7,"[""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":null,""notes"":""Age, obesity, and kidney disease affect interpretation""}","[""ED"",""inpatient"",""low_cost""]","[""Not disease-specific"",""Interpret with volume exam and imaging""]",75,300,1,systematic_review,,,,,seed_only,Avoid overselling as rule-in without context.,0.75,2026-04-01
hf_lung_ultrasound_blines,Acute decompensated heart failure / volume overload,cardiopulmonary,Lung ultrasound B-lines,ultrasound,diffuse bilateral B-lines by protocol,support pulmonary edema/volume overload,,,,,,,,,0.05,0.8,"[""ED"",""ICU"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":true,""notes"":""Protocol and operator skill matter""}","[""ED"",""ICU"",""inpatient"",""bedside""]","[""Operator dependence"",""Can be confounded by fibrosis or multifocal parenchymal disease""]",40,100,0.5,systematic_review,,,,,seed_only,Useful when paired with JVP/VExUS/cardiac findings.,0.88,2026-04-01
cap_cxr,Community-acquired pneumonia,infectious_pulmonary,Chest radiograph,imaging,new infiltrate consistent with pneumonia,support pneumonia diagnosis,,,,,,,,,0.05,0.7,"[""ED"",""outpatient"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":false,""icu_population"":null,""notes"":""Early disease and dehydration can reduce sensitivity""}","[""ED"",""outpatient"",""inpatient"",""low_cost"",""radiation_risk""]","[""Limited sensitivity early"",""Radiation low but nonzero""]",80,150,1,guideline,,,,,seed_only,Explain that a negative CXR does not always exclude early pneumonia.,0.82,2026-04-01
cap_pct,Community-acquired pneumonia,infectious_pulmonary,Procalcitonin,lab,assay-specific threshold,support bacterial vs nonbacterial lower respiratory infection,,,,,,,,,0.05,0.6,"[""ED"",""inpatient"",""ICU""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":true,""notes"":""Not a standalone rule in/out test for bacterial pneumonia""}","[""ED"",""inpatient"",""ICU"",""low_cost""]","[""May mislead if used without clinical context""]",60,200,2,guideline,,,,,seed_only,"Use as stewardship-supporting evidence, not sole determinant.",0.65,2026-04-01
sepsis_blood_culture,Sepsis / bacteremia source evaluation,sepsis,Blood cultures,microbiology,pathogen growth excluding contaminant pattern,identify bacteremia and guide de-escalation,,,,,,,,,0.05,0.8,"[""ED"",""ICU"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":true,""renal_impairment_relevant"":false,""icu_population"":true,""notes"":""Low yield in some syndromes; high management impact when positive""}","[""ED"",""ICU"",""inpatient"",""send_out""]","[""Contamination"",""Delay to result""]",120,500,24,guideline,,,,,seed_only,Actionability may outweigh weak immediate LR effect in sepsis pathways.,0.7,2026-04-01
ugi_bleed_bun_hgb,Upper gastrointestinal bleeding severity / upper source likelihood,gastrointestinal,BUN:creatinine ratio and hemoglobin trend,lab,elevated BUN relative to creatinine; dynamic Hb change,support upper source/severity assessment,,,,,,,,,0.05,0.7,"[""ED"",""inpatient"",""ICU""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":true,""notes"":""Interpret cautiously in CKD, catabolic states, resuscitation""}","[""ED"",""inpatient"",""ICU"",""low_cost""]","[""Indirect marker only""]",20,150,1,primary_study,,,,,seed_only,Should not replace risk stratification or endoscopic planning.,0.5,2026-04-01
aki_fst,AKI progression / severe AKI risk,renal,Furosemide stress test,procedure,urine output response after standardized furosemide dose,predict progression to severe AKI / RRT need,,,,,,,,,0.1,0.8,"[""ICU"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":true,""notes"":""Requires attention to volume status and obstruction exclusion""}","[""ICU"",""inpatient"",""renal_risk"",""bedside""]","[""May be inappropriate in hypovolemia or obstruction""]",15,200,2,systematic_review,,,,,seed_only,"Present as prognostic test, not etiologic diagnosis test.",0.78,2026-04-01
aki_renal_ultrasound,Post-renal AKI / hydronephrosis,renal,Renal ultrasound,ultrasound,hydronephrosis present,support obstructive uropathy,,,,,,,,,0.02,0.4,"[""ED"",""inpatient"",""ICU""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":true,""notes"":""Early obstruction and dehydration may affect findings""}","[""ED"",""inpatient"",""ICU"",""bedside"",""renal_risk""]","[""May miss early/partial obstruction""]",180,150,2,guideline,,,,,seed_only,Good first-line structural test when obstruction is plausible.,0.84,2026-04-01
hyponatremia_urine_osm,Hypotonic hyponatremia etiology,electrolyte,Urine osmolality,lab,appropriately dilute vs inappropriately concentrated urine,differentiate primary polydipsia/low solute from ADH-mediated states,,,,,,,,,0.1,0.8,"[""ED"",""inpatient"",""ICU"",""outpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":null,""notes"":""Interpret with serum osmolality, urine sodium, diuretics, and volume status""}","[""ED"",""inpatient"",""ICU"",""outpatient"",""low_cost""]","[""Context-dependent interpretation""]",35,100,2,guideline,,,,,seed_only,More of an etiologic discriminator than a binary disease test.,0.82,2026-04-01
hyponatremia_urine_na,Hypotonic hyponatremia etiology,electrolyte,Urine sodium,lab,low vs high urine sodium by context,differentiate low effective arterial volume from SIADH-like states,,,,,,,,,0.1,0.8,"[""ED"",""inpatient"",""ICU"",""outpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":null,""notes"":""Diuretics and CKD complicate interpretation""}","[""ED"",""inpatient"",""ICU"",""outpatient"",""low_cost""]","[""False interpretation with diuretics""]",30,100,2,guideline,,,,,seed_only,Explain why the same value means different things in different contexts.,0.8,2026-04-01
meningitis_lp,Bacterial meningitis,neurologic_infectious,Lumbar puncture CSF profile,procedure,bacterial pattern by CSF cell count/protein/glucose and microbiology,support or reduce likelihood of bacterial meningitis,,,,,,,,,0.05,0.8,"[""ED"",""inpatient"",""ICU""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":true,""renal_impairment_relevant"":false,""icu_population"":true,""notes"":""Urgency and pre-LP imaging considerations matter""}","[""ED"",""inpatient"",""ICU"",""invasive_test""]","[""Procedure risk"",""May be delayed by instability or concern for mass lesion""]",300,250,4,guideline,,,,,seed_only,"In urgency-sensitive states, actionability may dominate perfect LR precision.",0.9,2026-04-01
appendicitis_us_peds,Appendicitis,surgical_abdominal,Right lower quadrant ultrasound,ultrasound,noncompressible enlarged appendix or secondary signs,support or reduce likelihood of appendicitis,,,,,,,,,0.05,0.7,"[""ED"",""inpatient""]","{""age_group"":""pediatric"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":false,""icu_population"":false,""notes"":""Often first-line pediatric imaging; nondiagnostic studies common""}","[""ED"",""inpatient"",""pediatrics"",""bedside""]","[""Operator dependence"",""Nondiagnostic study common""]",220,400,2,guideline,,,,,seed_only,"Differentiate positive, negative, and nondiagnostic states in logic.",0.83,2026-04-01
appendicitis_ct_adult,Appendicitis,surgical_abdominal,CT abdomen/pelvis,imaging,appendiceal inflammation consistent with appendicitis,support or reduce likelihood of appendicitis,,,,,,,,,0.1,0.8,"[""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":false,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":false,""notes"":""Contrast strategy and population affect performance""}","[""ED"",""inpatient"",""high_cost"",""radiation_risk""]","[""Radiation"",""Contrast depending on protocol""]",1400,300,2,systematic_review,,,,,seed_only,Recommend after clinical stratification or nondiagnostic ultrasound as appropriate.,0.65,2026-04-01
cholecystitis_us,Acute cholecystitis,hepatobiliary,RUQ ultrasound,ultrasound,stones plus sonographic Murphy sign / wall thickening / pericholecystic fluid,support or reduce likelihood of acute cholecystitis,,,,,,,,,0.05,0.7,"[""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":false,""icu_population"":false,""notes"":""No single clinical/lab finding is definitive; ultrasound is a key first imaging step""}","[""ED"",""inpatient"",""bedside""]","[""Operator dependence"",""May not settle equivocal cases""]",240,350,2,systematic_review,,,,,seed_only,Explain limits of single findings and need for composite interpretation.,0.82,2026-04-01
ectopic_tvus,Ectopic pregnancy,obstetric_gynecologic,Transvaginal ultrasound,ultrasound,adnexal mass without intrauterine pregnancy or no adnexal abnormality,support or reduce likelihood of ectopic pregnancy,,,,,,,,,0.05,0.8,"[""ED"",""outpatient"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":true,""immunocompromised"":null,""renal_impairment_relevant"":false,""icu_population"":false,""notes"":""Combine with quantitative hCG and timeline""}","[""ED"",""outpatient"",""inpatient"",""pregnant"",""bedside""]","[""Early gestation may be indeterminate""]",300,300,2,systematic_review,,,,,seed_only,"Handle indeterminate studies explicitly, not binary only.",0.9,2026-04-01
osteomyelitis_probe_to_bone,Osteomyelitis in diabetic foot infection,infectious_msk,Probe-to-bone test,physical_exam,positive probe-to-bone,support osteomyelitis,,,,,,,,,0.05,0.7,"[""outpatient"",""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":true,""renal_impairment_relevant"":false,""icu_population"":false,""notes"":""Use within diabetic foot infection context""}","[""outpatient"",""ED"",""inpatient"",""low_cost"",""bedside""]","[""Depends on ulcer context and examiner""]",5,200,0.1,systematic_review,,,,,seed_only,Useful low-cost bedside discriminator before advanced imaging.,0.86,2026-04-01
stroke_lvo_cta,Large vessel occlusion stroke,neurologic_vascular,CTA head/neck,imaging,intracranial large vessel occlusion present,identify thrombectomy-eligible occlusion,,,,,,,,,0.05,0.8,"[""ED"",""inpatient""]","{""age_group"":""adult"",""pregnancy"":null,""immunocompromised"":null,""renal_impairment_relevant"":true,""icu_population"":false,""notes"":""Workflow urgency often dominates fine-grained next-test scoring""}","[""ED"",""inpatient"",""high_cost"",""radiation_risk""]","[""Contrast"",""Radiation"",""Workflow constraints""]",1600,500,1,guideline,,,,,seed_only,"If stroke pathway active, time-to-treatment may override conservative test sequencing.",0.88,2026-04-01
